country,iso3,region,income_level,gdp_per_capita_usd,log10_gdp_per_capita,life_expectancy_years,population,population_millions,urban_pop_pct,fertility_rate,health_exp_per_capita_usd,co2_per_capita_t
Azerbaijan,AZE,Europe & Central Asia,Upper middle income,7770.594223351,3.8904542309057764,74.125,10141756,10.142,58.4382815854684,1.67,261.44659424,3.91289240245969
"Bahamas, The",BHS,Latin America & Caribbean,High income,34957.1613279737,4.543536158812173,74.491,397538,0.398,81.3200717047725,1.379,2327.20117188,3.53551107063979
Bahrain,BHR,"Middle East, North Africa, Afghanistan & Pakistan",High income,30470.5219276023,4.483879893288519,80.992,1524693,1.525,100,1.839,1178.80664063,25.4678810750754
Bangladesh,BGD,South Asia,Lower middle income,2716.48592780431,3.434007459602478,74.265,169384897,169.385,31.673734726234,2.179,56.62142181,0.713556533909868
Barbados,BRB,Latin America & Caribbean,High income,24393.2193483944,4.387269121059008,75.676,282318,0.282,59.3538514107686,1.712,1302.0592041,2.4401561359885
Belarus,BLR,Europe & Central Asia,Upper middle income,7994.64806074889,3.902799350053618,74.1033658536585,9228071,9.228,78.4732787892908,1.326,529.01873779,6.05700801391753
Belgium,BEL,Europe & Central Asia,High income,50639.0264882739,4.704485347980178,81.7487804878049,11680210,11.68,87.489200269855,1.53,5487.59277344,7.6776616173853
Belize,BLZ,Latin America & Caribbean,Upper middle income,7068.21728043145,3.8493098914631925,72.19,402733,0.403,42.1373251262137,1.949,298.01553345,0.88023578897185
Benin,BEN,Sub-Saharan Africa,Lower middle income,1266.42711031904,3.1025801988662542,60.475,13759501,13.76,50.9627000010887,4.634,37.76291275,0.513056396449261
Bermuda,BMU,North America,High income,119969.173269085,5.079069666055722,82.062,64749,0.065,100,1.397,,3.97689539606789
Bhutan,BTN,South Asia,Lower middle income,3711.32767981591,3.5695293006848954,72.754,780914,0.781,40.9365143617581,1.478,138.00679016,1.94285158160822
Bolivia,BOL,Latin America & Caribbean,Lower middle income,4219.46113742445,3.6252569912493597,67.434,12077154,12.077,70.6352598708131,2.584,260.88070679,1.93607699297368
Bosnia and Herzegovina,BIH,Europe & Central Asia,Upper middle income,7655.59421024383,3.8839789053170515,76.777,3204802,3.205,51.0215287060993,1.481,667.29681396,6.98907452004835
Botswana,BWA,Sub-Saharan Africa,Upper middle income,8328.7090572666,3.9205776913523573,68.749,2439892,2.44,66.5889787170477,2.785,477.77633667,2.80246010889007
Brazil,BRA,Latin America & Caribbean,Upper middle income,9281.33334441234,3.9676103708875,74.872,210306415,210.306,87.349556243881,1.629,871.27526855,2.27889577215227
Brunei Darussalam,BRN,East Asia & Pacific,High income,36632.9280952155,4.56387163350951,72.917,455370,0.455,74.7772642014221,1.764,648.55499268,20.9436282583394
Bulgaria,BGR,Europe & Central Asia,High income,13999.9113358453,4.146125285215733,74.1609756097561,6465097,6.465,73.4799164005224,1.78,1066.69189453,7.64769654654833
Burkina Faso,BFA,Sub-Saharan Africa,Low income,827.330843486661,2.91767921543866,60.7,22509038,22.509,27.2791369742712,4.275,64.38339996,0.288261986140856
Burundi,BDI,Sub-Saharan Africa,Low income,301.832255755105,2.479765649448536,62.882,13321097,13.321,22.3202446002597,4.98,25.52155113,0.0698215770067585
Cabo Verde,CPV,Sub-Saharan Africa,Upper middle income,4323.31362032709,3.635816741117073,75.907,519741,0.52,75.033738060849,1.533,297.08233643,1.3085363671521
Cambodia,KHM,East Asia & Pacific,Lower middle income,2325.03050040841,3.3664286544613207,70.528,17201724,17.202,40.374616187368,2.616,103.89541626,1.06878240808886
Cameroon,CMR,Sub-Saharan Africa,Lower middle income,1604.87726954895,3.205441826027083,62.443,27632771,27.633,54.8458745688318,4.397,72.12950897,0.377591519866032
Canada,CAN,North America,High income,56496.9275340663,4.752024830274602,81.0948780487805,38950132,38.95,82.350089735396807,1.34,6252.34033203,14.7839088196158
